RawMaterial,SubMember,av_flake_length,av_core_length,ARI
Chalcedony,CL1,15.9125,16.25,0.979230769
CoarseChert,CL1,16.245,21.45,0.757342657
CrystalQuartz,CL1,12.73333333,8.78,1.450265756
Quartzite,CL1,22.91382353,67.59,0.339012036
CoarseChert,CL2,21.5725,29.08,0.741832875
CrystalQuartz,CL2,11.38666667,9.631818182,1.182192858
FineChert,CL2,18.9325,13.115,1.443576058
Quartzite,CL2,37.91142857,122.185,0.31027891
Sandstone,CL2,26.7175,49.87,0.535742932
VeinQuartz,CL2,17.15517241,25.8425,0.663835636
CoarseChert,CL3,14.45333333,31.5,0.458835979
CrystalQuartz,CL3,12.74796875,11.66470588,1.092866711
FineChert,CL3,13.8932,22.12,0.628083183
Quartzite,CL3,22.94807692,61.67,0.372110863
Silcrete,CL3,17.34205128,41.07,0.422255936
VeinQuartz,CL3,14.75631579,20.48666667,0.720288763
CrystalQuartz,CL4,14.28333333,10.315,1.384714817
VeinQuartz,CL4,15.15775,14.50333333,1.045121811
