DateOfDataEntry,Square,Member,SubMember,ToolNumber,RawMaterial,OtherRaw MaterialID,CoreTypology,OverallCortexArea,CortexType,CoreArtifactClass,EvidenceBipolar,NumberCoreFaces,WhichIsPlatform,CoreBlankSphericity,IntendedProduct,CoreSubTypology,ConardUnifiedType,BipolarChronology,DegreeOfKnappingAlongCircumference,OverallScarCount,LengthLongestFlakeScar,MaxLength,MaxWidth,MaxThickness,Mass,OtherNotes,Photograph,FeatureName
21/07/2023,P13,CL,CL4,860,Chalcedony,,Core>2flakescars,0%,,CompCore,Both,Three,None,Flake,BladeBladelet,Bladeletcore,Bipolar,AfterFH,270-360,5,9.27,10.2,5.98,5.52,0.29,,Yes,GG2
25/07/2023,O14,CL,CL1,912,CoarseChert,,Core>2flakescars,1-10%,Cobble,CompCore,Both,MoreThanFour,One,SphericalOrCubic,BladeBladelet,Bladeletcore,Platform,AfterFH,270-360,4,20.85,21.45,12.34,9.22,3.03,,Yes,N/A
26/07/2023,O14,CL,CL3,933,CoarseChert,,Core>2flakescars,11-40%,Cobble,CompCore,Both,Four,One,NotSphericalFlat,Flake,Irregularcore,Platform,AfterFH,180-270,4,12.25,31.5,22.92,15.18,11.34,"looks heat treated. possibly silcrete, but uncertain",Yes,N/A
21/07/2023,P13,CL,CL4,868,CrystalQuartz,,Core>2flakescars,11-40%,Outcrop,CompCore,Both,Four,None,SphericalOrCubic,Flake,Radialcore,Platform,AfterFH,270-360,6,8.07,18.41,16.73,8.5,3.28,dome shaped core,Yes,base
24/07/2023,P13,CL,CL2,884,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Both,Three,One,SphericalOrCubic,Flake,Radialcore,Platform,AfterFH,270-360,6,6.16,8.58,7.55,4.43,0.24,,Yes,AF4
21/07/2023,P13,CL,CL3,870,VeinQuartz,,Core>2flakescars,1-10%,Cobble,CompCore,Both,Two,None,Flake,Flake,Irregularcore,Parallel,AfterFH,90-180,3,9.11,18.69,10.07,3.97,0.73,core-on-flake,No,MOT.ASH
24/07/2023,P13,CL,CL2,878,Sandstone,,Core>2flakescars,11-40%,Cobble,CoreFrag,Both,MoreThanFour,None,NotSphericalFlat,Flake,Irregularcore,Platform,AfterFH,180-270,3,22.27,49.87,48.76,22.41,73.78,,Yes,AF4
24/07/2023,P13,CL,CL3,897,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Both,Two,None,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Parallel,BeforeFH,270-360,3,9.32,9.32,6.11,2.99,0.15,,No,N/A
24/07/2023,P13,CL,CL2,880,FineChert,,Core>2flakescars,0%,,CompCore,Both,Two,None,NotSphericalFlat,Flake,CoreReducedPiece,Parallel,BeforeFH,180-270,6,8.76,11.76,11.37,3.59,0.56,core-on-flake,Yes,AF4
21/07/2023,P13,CL,CL4,866,VeinQuartz,,Core>2flakescars,0%,,CompCore,Both,Four,None,NotSphericalFlat,BladeBladelet,Bladeletcore,Bipolar,BeforeFH,270-360,5,8.83,15.2,6.99,6.02,0.91,,Yes,N/A
24/07/2023,P13+P14,CL,CL3,891,VeinQuartz,,Core>2flakescars,0%,,CoreFrag,Both,MoreThanFour,One,SphericalOrCubic,BladeBladelet,Bladeletcore,Platform,BeforeFH,270-360,4,17.04,17.41,12.3,14.37,4,"split on one end with bipolar, other removals occur along another platform surface",Yes,Mousehole
26/07/2023,O14,CL,CL3,932,VeinQuartz,,Core>2flakescars,0%,,CompCore,Both,Three,None,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Parallel,BeforeFH,270-360,3,13.11,13.87,7.83,5.31,0.64,,Yes,MUISGAT
26/07/2023,O14,CL,CL3,941,VeinQuartz,,Core>2flakescars,1-10%,Outcrop,CompCore,Both,MoreThanFour,One,SphericalOrCubic,Flake,Irregularcore,Platform,BeforeFH,270-360,5,11.64,12.76,9.16,7.04,1.08,,No,MA
25/07/2023,O14,CL,CL2,920,Quartzite,,Core>2flakescars,61-90%,Cobble,CompCore,Both,MoreThanFour,One,SphericalOrCubic,Flake,Irregularcore,Platform,BeforeFH,0-90,4,46.33,110.48,81.02,75.59,1139.6,battered cobble,Yes,MOU
24/07/2023,P13,CL,CL3,901,CrystalQuartz,,Core>2flakescars,11-40%,Outcrop,CompCore,No,Four,One,SphericalOrCubic,Flake,Irregularcore,Platform,indeterminate,90-180,2,9.73,25.54,13.74,15.27,6.32,,Yes,N/A
26/07/2023,O14,CL,CL3,931,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Two,None,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Parallel,indeterminate,270-360,3,9,9.86,5.73,3.93,0.24,,Yes,MUISGAT
24/07/2023,P13,CL,CL3,907,FineChert,,Core>2flakescars,0%,,CompCore,No,Four,One,SphericalOrCubic,Flake,Irregularcore,Platform,indeterminate,180-270,4,23.5,23.5,13.75,12.9,4,,Yes,AF5
21/07/2023,P13,CL,CL3,869,VeinQuartz,,Core>2flakescars,0%,,CompCore,No,Two,None,Flake,Flake,Irregularcore,Parallel,indeterminate,270-360,3,7.74,10.72,10.52,3.09,0.4,core-on-flake,Yes,MOT.ASH
21/07/2023,P13,CL,CL2,871,VeinQuartz,,Chunks<2flakescars,11-40%,Cobble,,No,,,,Flake,,,indeterminate,,2,15.27,51.36,26.21,21.69,33.71,not heavily worked,Yes,N/A
24/07/2023,P13,CL,CL3,902,VeinQuartz,,Core>2flakescars,1-10%,Cobble,CompCore,No,MoreThanFour,One,SphericalOrCubic,Flake,Irregularcore,Platform,indeterminate,90-180,2,9.47,11.55,14.61,10.36,2.35,,No,N/A
24/07/2023,P13,CL,CL3,905,VeinQuartz,,Core>2flakescars,0%,,CompCore,No,Four,None,SphericalOrCubic,Flake,Irregularcore,Inclined,indeterminate,90-180,4,11.93,18.84,12.49,9.82,2.78,,No,AF5
25/07/2023,O14,CL,CL2,914,VeinQuartz,,Core>2flakescars,1-10%,Cobble,CompCore,Yes,MoreThanFour,One,SphericalOrCubic,Flake,CoreReducedPiece,Platform,indeterminate,180-270,3,19.27,20.64,15.71,13.23,3.6,,No,N/A
26/07/2023,O14,CL,CL3,926,VeinQuartz,,Core>2flakescars,0%,,CompCore,No,Three,One,SphericalOrCubic,Flake,Irregularcore,Inclined,indeterminate,180-270,4,35,75.02,56.79,29.85,128.7,,Yes,Mousel
26/07/2023,O14,CL,CL3,939,VeinQuartz,,Core>2flakescars,0%,,CompCore,Yes,MoreThanFour,None,SphericalOrCubic,Flake,Irregularcore,Other,indeterminate,270-360,4,15.12,18.29,10.96,10.6,2.7,,No,MA
26/07/2023,O14,CL,CL3,940,VeinQuartz,,Chunks<2flakescars,41-60%,Outcrop,,Yes,,,,Flake,,,indeterminate,,1,38.76,39.88,18.82,20.85,16.89,could also be crystal quartz,Yes,MA
26/07/2023,O14,CL,CL3,945,VeinQuartz,,Core>2flakescars,0%,,CompCore,No,Four,One,SphericalOrCubic,Flake,Irregularcore,Platform,indeterminate,180-270,3,22.1,30.45,28.71,20.03,12.37,,Yes,BBG
25/07/2023,O14,CL,CL1,909,Quartzite,,Core>2flakescars,1-10%,Cobble,CompCore,No,Four,One,SphericalOrCubic,Flake,Radialcore,Platform,indeterminate,270-360,10,41.1,55.06,41.68,25.41,64.63,"raw material uncertain. Likely very fine grain quartzite, possible coarse chert.",Yes,lower
25/07/2023,O14,CL,CL1,910,Quartzite,Ochre,Core>2flakescars,41-60%,Cobble,CompCore,Yes,MoreThanFour,None,SphericalOrCubic,Flake,Irregularcore,Other,indeterminate,90-180,5,52.98,80.12,75.44,50.9,419.4,possibly ochre,Yes,AF8
25/07/2023,O14,CL,CL2,921,Quartzite,,Core>2flakescars,61-90%,Cobble,CompCore,No,MoreThanFour,None,NotSphericalFlat,Flake,Irregularcore,Other,indeterminate,180-270,6,40.53,133.89,81.97,48.63,669.3,flaked in opposite directions on both edges,Yes,MOU
26/07/2023,O14,CL,CL3,943,Quartzite,,Core>2flakescars,11-40%,Cobble,CompCore,No,Four,One,SphericalOrCubic,Flake,Irregularcore,Platform,indeterminate,270-360,5,31.23,61.67,48.97,33.71,94.1,core-on-flake,Yes,BBG
26/07/2023,O14,CL,CL3,944,Silcrete,,Core>2flakescars,0%,,CompCore,No,Four,One,SphericalOrCubic,Flake,Radialcore,Platform,indeterminate,270-360,6,27.42,41.07,24.05,16.99,14.91,,Yes,BBG
25/07/2023,O14,CL,CL1,911,Chalcedony,,Core>2flakescars,0%,,CompCore,Yes,Four,One,SphericalOrCubic,BladeBladelet,Bladeletcore,Bipolar,NoFH,270-360,7,12.45,16.25,6.21,6.44,0.89,,Yes,N/A
24/07/2023,P13,CL,CL2,877,CoarseChert,,Core>2flakescars,11-40%,Outcrop,CompCore,Yes,MoreThanFour,None,NotSphericalFlat,Flake,Irregularcore,Bipolar,NoFH,90-180,3,11.28,29.08,16.35,12.27,7.7,,Yes,AF4
